id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
38	333		UK	1990			chicken offal or meat		1	2	1	12	3	17	1	5	33	ST-21 complex
39	335		UK	1999		gastroenteritis	human stool	sporadic case	1	2	15	11	6	17	12	5	34	
40	327		UK	1990		gastroenteritis	human stool	sporadic case	1	2	16	2	2	6	1	5	35	ST-48 complex
41	1741		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	19	2	6	3	17	36	ST-61 complex
42	1744		UK	1992		gastroenteritis	human stool	sporadic case	4	7	17	2	2	18	3	6	37	ST-353 complex
43	1835		UK	1992		gastroenteritis	human stool	sporadic case	4	2	4	2	2	6	1	5	38	ST-48 complex
44	GB24		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	31	2	3	2	11	19	3	6	39	ST-658 complex
45	GB27		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	1,44	2	1	1	3	1	1	3	186	ST-21 complex
46	P41	ATCC43460	Unknown			carrier	gazelle	carrier	41	16	2	16	62	3	9	8	41	ST-41 complex
47	108980027		The Netherlands	1998		gastroenteritis	human stool	sporadic case	36	1	2	3	4	5	9	3	42	ST-42 complex
48	NCTC11168		UK	1977		gastroenteritis	human stool	sporadic case	2	2	1	5	3	4	1	5	43	ST-21 complex
49	161H		The Netherlands	1998		carrier	chicken	carrier	1,44	8	1	6	3	2	1	1	44	ST-21 complex
50	1997-1591		The Netherlands	1997		gastroenteritis	human stool	sporadic case	19	1	3	6	4	3	3	3	22	ST-22 complex
51	41239B	99/212; CN005	UK			gastroenteritis	human stool	general outbreak	55	4	7	10	4	1	7	1	45	ST-45 complex
52	BCH1204	99/188; CN009	UK			gastroenteritis	human stool	general outbreak		2	1	1	3	2	1	5	21	ST-21 complex
53	943	99/210; CN022	UK			carrier	chicken	carrier		2	21	5	3	2	1	5	46	ST-206 complex
54	1997-1423	99/219; CN029	The Netherlands	1997		gastroenteritis	human stool			1	2	3	4	5	9	3	42	ST-42 complex
55	BJ1	CN037	Belgium			gastroenteritis	human stool	sporadic case		2	1	1	5	2	1	5	47	ST-21 complex
56	5029	99/217; CN045	Denmark			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
57	11Cj	99/216; CN049	France			gastroenteritis	human stool	sporadic case		4	7	10	4	1	7	1	45	ST-45 complex
58	Cy6412	99/201; CN052	The Netherlands	1992		carrier	cattle	carrier		2	4	1	2	7	1	5	48	ST-48 complex
59	4039	99/202; CN056	Denmark	1999		carrier	cattle	carrier		4	7	10	4	1	7	1	45	ST-45 complex
60	BT27/98	99/194; CN058	UK	1999		carrier	cattle	carrier		4	7	10	4	1	7	1	45	ST-45 complex
61	C196/1	99/191; CN086	UK			carrier	chicken	carrier		3	1	5	17	11	11	6	49	ST-49 complex
62	SVS 5051	99/206; CN093	Denmark	1999		carrier	chicken	carrier		2	1	1	3	2	1	5	21	ST-21 complex
63	160H		The Netherlands	1998		carrier	chicken	carrier		7	17	2	15	23	3	12	51	ST-443 complex
64	C2143		The Netherlands	1991		carrier	chicken	carrier		9	25	2	10	22	3	6	52	ST-52 complex
65	5001	99/199; CN001	Denmark				potable/drinking water		2	2	1	21	3	2	1	5	53	ST-21 complex
66	LP83/98	CN024	Finland							17	2	9	5	24	2	4	54	ST-177 complex
67	C13010	99/209; CN033	UK			gastroenteritis	human stool	sporadic case		1	4	2	16	6	3	17	60	ST-61 complex
68	CKH3	99/214; CN041	Sweden			gastroenteritis	human stool	sporadic case		18	22	22	18	25	17	16	59	
69	4137	99/238; CN054	UK			carrier	cattle	carrier		10	23	16	19	6	18	7	55	ST-403 complex
70	133f/98	99/204; CN060	UK			carrier	sheep	carrier		9	25	2	10	22	3	6	52	ST-52 complex
71	1589	99/215; CN073	The Netherlands	1992		carrier	cattle	carrier	13	1	4	2	2	6	3	17	61	ST-61 complex
72	16937	CN075	UK			carrier	cattle	carrier		19	24	23	20	26	16	15	58	
73	C356		The Netherlands	1991		carrier	chicken	carrier	2	2	1	21	3	2	1	5	53	ST-21 complex
74	LMG8843		Australia	1998		gastroenteritis	human stool	sporadic case		20	26	24	21	27	19	18	62	
75	GB15		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	5,34	9	17	2	10	22	3	6	63	ST-52 complex
76	GB22		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	13,64	1	6	15	24	12	28	1	64	ST-508 complex
77	PS3	ATCC43431	Unknown			gastroenteritis	human stool	sporadic case	3	7	2	5	2	10	3	6	5	ST-353 complex
78	3616		UK	1991			cows milk		2	2	1	1	3	2	1	5	21	ST-21 complex
79	323		UK	1990			chicken offal or meat		1	2	15	4	6	17	12	19	65	ST-433 complex
80	3109		UK	1991			chicken offal or meat		6	4	7	10	1	1	7	1	25	ST-45 complex
81	1951		UK	1990			chicken offal or meat		1	2	1	12	3	2	1	5	50	ST-21 complex
82	2473		UK	1991			chicken offal or meat		1	2	1	12	3	2	25	5	67	ST-21 complex
83	3105		Unknown	1991			chicken offal or meat		4,16,50	4	7	10	4	32	7	6	68	ST-45 complex
84	79201		UK	1994			sand (bathing beach)	environmental isolate	1	2	1	27	3	33	1	5	69	ST-21 complex
85	79203		UK	1994			sand (bathing beach)	environmental isolate	10	2	1	1	5	2	1	5	47	ST-21 complex
86	79228		UK	1994			sand (bathing beach)	environmental isolate	38	1	7	10	4	1	7	1	408	ST-45 complex
87	2526		UK	1991			chicken offal or meat		1	22	15	4	64	17	1	35	71	
88	1441		New Zealand	1993		carrier	cattle	carrier	13,50	1	4	2	2	29	3	20	72	ST-61 complex
89	79199		UK	1994			sand (bathing beach)	environmental isolate	5	21	2	9	5	30	23	21	73	
90	79176		UK	1994			sand (bathing beach)	environmental isolate	5	17	1	4	5	6	2	4	74	ST-177 complex
91	3615		UK	1991			cows milk		2	2	1	1	3	20	1	5	75	ST-21 complex
92	1434		New Zealand	1993		carrier	chicken	carrier	2	2	1	1	3	20	20	5	76	ST-21 complex
93	2656		UK	1991			chicken offal or meat		27	4	7	10	4	31	1	1	77	ST-45 complex
94	3779		UK	1991		gastroenteritis	human stool	sporadic case	19	1	3	6	4	9	3	3	78	ST-22 complex
95	3748		UK	1991		gastroenteritis	human stool	sporadic case	4	2	4	1	2	7	7	5	79	ST-48 complex
96	79125		UK	1994			sand (bathing beach)		2	1	6	7	2	8	6	3	80	ST-179 complex
97	79260		UK	1994			sand (bathing beach)		55	17	2	8	5	8	2	4	177	ST-177 complex
98	MF6	MFS6	The Netherlands			Miller Fisher Syndrome	human stool	sporadic case	4,64	2	4	1	2	7	1	5	48	ST-48 complex
99	MF7	MFS7	The Netherlands			Miller Fisher Syndrome	human stool	sporadic case	35	10	27	43	7	6	18	7	83	
100	GB14		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	2	2	1	5	3	2	1	5	19	ST-21 complex
101	GB25		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	2	7	2	6	10	10	37	1	131	
102	P10	ATCC43438	Unknown			gastroenteritis	human stool	sporadic case	10	2	4	27	25	11	3	5	56	
103	PS4		Unknown						4	2	4	5	2	2	1	5	227	ST-206 complex
104	PS8	ATCC43436	Canada			gastroenteritis	human stool	sporadic case	8	6	4	12	3	2	1	5	87	ST-21 complex
105	P42		Canada			gastroenteritis	human stool	sporadic case	42	4	7	10	4	36	28	1	88	ST-45 complex
106	P06	ATCC43434	Canada			gastroenteritis	human stool	sporadic case	6	4	7	10	55	42	51	1	89	ST-45 complex
107	3897		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	27	5	90	ST-21 complex
108	79178		UK	1994			sand (bathing beach)	environmental isolate	4	23	4	1	2	6	3	5	91	ST-61 complex
109	1426		New Zealand	1993		carrier	duck	carrier	5	2	15	28	26	38	29	23	92	
110	1529		UK	1993		gastroenteritis	human stool	sporadic case	NT	1	4	2	2	6	3	6	93	ST-61 complex
111	1564		UK	1992		gastroenteritis	human stool	sporadic case	NT	1	4	2	2	6	3	6	93	ST-61 complex
112	1715		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	2	2	6	3	6	93	ST-61 complex
113	2017		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	2	2	6	3	6	93	ST-61 complex
114	2035		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	2	2	6	3	6	93	ST-61 complex
115	3222		UK	1991		gastroenteritis	human stool	sporadic case	4	1	4	2	2	6	3	6	93	ST-61 complex
116	3827		UK	1991		gastroenteritis	human stool	sporadic case	4	1	4	2	2	6	3	6	93	ST-61 complex
117	79202		UK	1994			sand (bathing beach)	environmental isolate	10	2	1	1	5	2	1	5	47	ST-21 complex
118	3110		UK	1991			chicken offal or meat		60	4	7	10	1	1	1	1	94	ST-45 complex
119	3188		UK	1991			chicken offal or meat		NT	1	7	10	4	1	7	1	408	ST-45 complex
120	2601		UK	1991			chicken offal or meat		1	2	4	5	2	2	30	5	96	ST-206 complex
121	1436		New Zealand	1993		carrier	chicken	carrier	NT	4	7	10	4	1	1	1	97	ST-45 complex
122	79238		UK	1994			sand (bathing beach)	environmental isolate	4	2	32	1	2	7	1	5	98	ST-48 complex
123	79129		UK	1994			sand (bathing beach)	environmental isolate	5	1	6	7	2	7	32	3	99	ST-179 complex
124	79207		UK	1994			sand (bathing beach)	environmental isolate	2	1	6	29	2	40	32	3	220	ST-179 complex
125	79373		UK	1994			sand (bathing beach)	environmental isolate		10	31	7	2	39	31	3	101	
126	1576		UK	1992		gastroenteritis	human stool	sporadic case	NT	2	1	1	3	2	1	5	21	ST-21 complex
127	314		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	12	3	2	1	5	50	ST-21 complex
128	337		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	1	3	41	1	3	102	ST-21 complex
129	1656		UK	1992		gastroenteritis	human stool	sporadic case		1	4	2	3	6	3	19	103	ST-61 complex
130	3667		UK	1991		gastroenteritis	human stool	sporadic case	23	1	2	3	4	5	9	3	42	ST-42 complex
131	3744		UK	1991		gastroenteritis	human stool	sporadic case	23	1	2	3	4	5	9	3	42	ST-42 complex
132	3782		UK	1991		gastroenteritis	human stool	sporadic case	4	2	1	1	3	7	1	5	104	ST-21 complex
133	3907		UK	1991		gastroenteritis	human stool	sporadic case	1	2	1	5	3	2	1	5	19	ST-21 complex
134	3174		UK	1991		gastroenteritis	human stool	sporadic case	2	7	1	1	3	42	1	5	105	ST-21 complex
135	3117		UK	1991		gastroenteritis	human stool	sporadic case	4	2	29	4	27	10	3	5	106	
136	2945		UK	1991		gastroenteritis	human stool	sporadic case	2	4	1	1	3	4	1	5	107	ST-21 complex
137	2879		UK	1991		gastroenteritis	human stool	sporadic case	2	2	7	10	4	1	7	5	109	ST-45 complex
138	2809		UK	1991		gastroenteritis	human stool	sporadic case	55	23	20	1	3	2	1	5	108	ST-21 complex
139	2582		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	10	1	5	110	ST-21 complex
140	2546		UK	1991		gastroenteritis	human stool	sporadic case	2	2	22	21	3	2	34	5	111	ST-21 complex
141	2255		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	6	3	2	1	24	112	ST-21 complex
142	2254		UK	1991		gastroenteritis	human stool	sporadic case	13,50	24	30	2	2	11	3	6	113	ST-460 complex
143	2160		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	27	2	1	5	114	ST-21 complex
144	2399		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	21	3	2	1	5	53	ST-21 complex
145	2567		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	5	3	2	1	5	19	ST-21 complex
146	2836		UK	1991		gastroenteritis	human stool	sporadic case	NT	2	1	1	3	2	1	5	21	ST-21 complex
147	87037		UK	1994			sand (bathing beach)	environmental isolate	NT	27	33	22	31	43	9	1	115	ST-1275 complex
148	3175		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	1	5	21	ST-21 complex
149	2857		UK	1991			chicken offal or meat		55	26	7	10	5	1	7	21	116	ST-45 complex
150	79045		UK	1994			sand (bathing beach)	environmental isolate	5	1	6	29	29	40	32	3	117	ST-179 complex
151	1939		UK	1990			chicken offal or meat		1	2	1	12	2	2	1	5	86	ST-21 complex
152	1950		UK	1990			chicken offal or meat		1	4	1	12	2	2	1	1	118	
153	2241		UK	1991		gastroenteritis	human stool	sporadic case	2	8	1	21	3	2	1	5	119	ST-21 complex
154	2856		UK	1991		gastroenteritis	human stool	sporadic case	44	2	4	2	2	2	1	25	120	ST-48 complex
155	3487		UK	1991		gastroenteritis	human stool	sporadic case	5	1	4	2	4	3	1	6	121	ST-658 complex
156	GB23		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	4,13,43	6	4	5	2	2	1	5	122	ST-206 complex
157	3617		UK	1991			cows milk		2	2	1	1	3	2	1	5	21	ST-21 complex
158	3057		UK	1991			chicken offal or meat		60	4	7	10	4	1	7	1	45	ST-45 complex
159	79204		UK	1994			sand (bathing beach)	environmental isolate	10	2	1	1	5	2	1	5	47	ST-21 complex
160	79227		UK	1994			sand (bathing beach)	environmental isolate	8.17	2	6	8	5	8	25	1	123	
161	316		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	5	3	2	1	5	19	ST-21 complex
162	317		UK	1990			chicken offal or meat		1	2	1	1	3	2	1	27	124	ST-21 complex
163	319		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	5	3	2	1	5	19	ST-21 complex
164	326		UK	1990		gastroenteritis	human stool	sporadic case	1	2	21	5	37	2	1	7	125	ST-206 complex
165	323		UK	1990		gastroenteritis	human stool	sporadic case	1	31	59	4	38	17	12	35	126	ST-433 complex
166	p7		Unknown			gastroenteritis	human stool	sporadic case	7	4	7	10	4	1	7	1	45	ST-45 complex
167	p34	ATCC43478	Unknown			carrier	marmoset	carrier	34	30	37	30	32	11	35	6	127	
168	p38		Unknown			gastroenteritis	human stool	sporadic case	38	4	7	10	4	1	7	1	45	ST-45 complex
169	p62	ATCC49300	Canada			gastroenteritis	human stool	sporadic case	62	7	17	27	86	11	3	6	129	ST-353 complex
170	p64	ATCC49302	South Africa			gastroenteritis	human stool	sporadic case	64	28	34	27	34	45	36	26	130	
171	p65	ATCC49303	Unknown						65	28	34	27	33	45	36	26	162	
172	GB18		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	19	1	3	6	4	3	3	3	22	ST-22 complex
173	MF20		The Netherlands			Miller Fisher Syndrome	human stool	sporadic case	2	7	2	6	10	10	37	1	131	
174	GB21		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	13,65	1	6	22	24	12	28	1	132	ST-508 complex
175	GB13		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	2	2	1	21	3	2	1	5	53	ST-21 complex
176	GB16		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	13,65	1	4	2	2	6	3	17	61	ST-61 complex
177	1425		New Zealand	1993		carrier	chicken	carrier	13	2	4	1	42	20	3	5	134	ST-48 complex
178	2386		UK	1991			chicken offal or meat		1	2	21	5	37	2	39	5	135	ST-206 complex
179	79205		UK	1994			sand (bathing beach)	environmental isolate	10	17	2	1	5	2	1	5	136	ST-21 complex
180	p45		Unknown			gastroenteritis	human stool	sporadic case	45	4	7	10	4	42	7	1	137	ST-45 complex
181	p56	ATCC43488	Israel			gastroenteritis	human stool	sporadic case	56	33	39	30	2	48	35	17	138	ST-828 complex
182	p59	ATCC43489	Unknown			carrier	pig	carrier	59	32	38	30	41	49	35	28	139	
183	GB4		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	37	7	40	1	15	56	3	12	147	
184	GB11		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	2	2	1	6	3	2	1	5	148	ST-21 complex
185	GB28		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case		1	3	33	4	54	3	3	149	ST-22 complex
186	p46	ATCC43482	Canada			gastroenteritis	human stool	sporadic case	46	4	38	30	15	12	44	1	150	
187	p49	ATCC43485	USA			gastroenteritis	human stool	sporadic case	49	4	42	30	4	51	43	1	151	
188	79371		UK	1994			sand (bathing beach)	environmental isolate	2	1	6	7	2	40	42	29	152	ST-179 complex
189	79372		UK	1994			sand (bathing beach)	environmental isolate	2	1	41	7	2	40	32	3	153	ST-179 complex
190	1439		New Zealand	1993		carrier	chicken	carrier	1	31	1	12	3	2	32	21	154	
191	ps15		Unknown						15	34	4	2	43	13	3	6	155	ST-658 complex
192	ps50		Unknown			gastroenteritis	human stool	sporadic case	50	1	4	2	2	6	3	17	61	ST-61 complex
193	330		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	2	45	2	1	5	157	ST-21 complex
194	p35	ATCC43455	USA			carrier	marmoset	carrier	35	10	27	5	44	52	41	17	158	
195	2018		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	2	2	6	3	17	61	ST-61 complex
196	1739		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	2	2	6	3	17	61	ST-61 complex
197	2019		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	2	2	6	3	17	61	ST-61 complex
198	2037		UK	1992		gastroenteritis	human stool	sporadic case	4c	1	4	2	2	6	3	17	61	ST-61 complex
199	1827		UK	1992		gastroenteritis	human stool	sporadic case	NT	1	4	8	2	6	3	5	159	ST-61 complex
200	315		UK	1990		gastroenteritis	human stool	sporadic case	1	2	21	35	46	53	1	5	160	ST-206 complex
201	1932		UK	1990			chicken offal or meat		1	2	31	12	5	20	1	5	140	
202	2269		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	1	5	21	ST-21 complex
203	2272		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	10	3	2	1	5	141	ST-21 complex
204	2325		UK	1991		gastroenteritis	human stool	sporadic case	4	36	4	1	2	7	1	5	142	ST-48 complex
205	2457		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	21	3	2	1	5	53	ST-21 complex
206	2817		UK	1991			potable/drinking water		2	2	1	12	3	2	1	5	50	ST-21 complex
207	3281		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	21	3	2	1	5	53	ST-21 complex
208	79261		UK	1994			sand (bathing beach)	environmental isolate	NT	2	2	8	47	8	2	5	143	ST-177 complex
209	79308		UK	1994			sand (bathing beach)	environmental isolate	NT	17	2	8	5	8	2	21	144	ST-177 complex
210	87012		UK	1994			sand (bathing beach)	environmental isolate		4	4	36	5	57	45	31	145	
211	87034		UK	1994			sand (bathing beach)	environmental isolate	NT	14	7	10	4	1	7	1	146	ST-45 complex
212	2924		UK	1991			chicken offal or meat		4,13,50	4	7	10	4	1	7	1	45	ST-45 complex
213	3550		UK	1991		gastroenteritis	human stool	sporadic case	2	2	20	1	3	2	1	1	164	ST-21 complex
214	1953		UK	1990			chicken offal or meat		1	2	1	12	48	2	1	32	165	ST-21 complex
215	2692		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	9	2	1	5	13	ST-21 complex
216	79091		UK	1994			sand (bathing beach)	environmental isolate	NT	35	5	11	3	38	25	2	166	
217	79348		UK	1994			sand (bathing beach)	environmental isolate	4,16,50	2	4	1	2	7	1	5	48	ST-48 complex
218	2529		UK	1991			chicken offal or meat		2	38	1	1	3	2	1	5	167	ST-21 complex
219	2897		UK	1991		gastroenteritis	human stool	sporadic case	9,37	4	7	10	4	42	7	5	168	ST-45 complex
220	2844		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	6	1	5	169	ST-21 complex
221	2987		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	10	1	5	110	ST-21 complex
222	3108		UK	1991			chicken offal or meat		6	10	7	10	2	1	7	1	171	ST-45 complex
223	2320		UK	1991		gastroenteritis	human stool	sporadic case	10	8	25	2	10	22	3	6	172	ST-52 complex
224	3052		UK	1991			chicken offal or meat		4,16,50	4	44	10	4	1	7	1	173	ST-45 complex
225	2951		UK	1991		gastroenteritis	human stool	sporadic case	2	23	4	5	30	7	1	5	174	ST-48 complex
226	78965		UK	1994			sand (bathing beach)	environmental isolate	NT	39	5	9	4	8	46	21	175	ST-682 complex
227	78970		UK	1994			sand (bathing beach)	environmental isolate	24	37	2	9	2	8	46	23	176	ST-682 complex
228	79309		UK	1994			sand (bathing beach)	environmental isolate	NT	17	2	8	5	8	2	4	177	ST-177 complex
229	87060		UK	1994			sand (bathing beach)	environmental isolate	44	2	45	2	4	19	3	1	178	ST-658 complex
230	78972		UK	1994			sand (bathing beach)	environmental isolate	5	1	6	7	2	40	32	3	179	ST-179 complex
231	GB3		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	19,24	1	3	6	4	3	3	3	22	ST-22 complex
232	GB5		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	4,64	2	1	1	3	1	1	5	185	ST-21 complex
233	GB19		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	4,50	1	4	2	2	6	3	17	61	ST-61 complex
234	GB26		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	1,44	2	1	1	3	1	1	3	186	ST-21 complex
235	MF8		The Netherlands			Miller Fisher Syndrome	human stool	sporadic case	23,36	1	2	3	4	5	9	3	42	ST-42 complex
236	p51	ATCC43486	Unknown						51	33	39	30	2	6	47	17	57	ST-828 complex
237	3846		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	21	3	20	1	7	193	ST-21 complex
238	79351		UK	1994			sand (bathing beach)	environmental isolate	4,13,50	17	4	1	2	8	1	5	194	ST-48 complex
239	1612		UK	1993		gastroenteritis	human stool	sporadic case		40	4	2	2	6	3	5	195	ST-61 complex
240	79195		UK	1994			sand (bathing beach)	environmental isolate	55	17	5	9	5	8	2	6	196	ST-177 complex
241	79196		UK	1994			sand (bathing beach)	environmental isolate	NT	17	2	8	5	8	2	4	177	ST-177 complex
242	79310		UK	1994			sand (bathing beach)	environmental isolate		17	47	36	5	8	2	1	198	ST-177 complex
243	87024		UK	1994			sand (bathing beach)	environmental isolate	55	1	7	10	2	1	7	1	180	ST-45 complex
244	1938		UK	1990			chicken offal or meat		11	4	46	4	5	4	5	1	181	
245	87040		UK	1994			sand (bathing beach)	environmental isolate		27	33	22	3	43	9	1	182	ST-1275 complex
246	87025		UK	1994			sand (bathing beach)	environmental isolate	53	27	31	34	5	57	45	31	183	
247	3018		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	21	3	2	1	1	184	ST-21 complex
248	2239		UK	1991		gastroenteritis	human stool	sporadic case	4,50	2	1	5	3	7	3	1	191	
249	3484		UK	1991		gastroenteritis	human stool	sporadic case	2	2	2	5	3	58	1	5	187	ST-21 complex
250	3546		UK	1991		gastroenteritis	human stool	sporadic case	2	4	7	10	4	2	1	5	189	ST-45 complex
251	3742		UK	1991		gastroenteritis	human stool	sporadic case	2	7	35	5	50	2	1	6	192	
252	3775		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	1	1	188	ST-21 complex
253	3763		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	1	5	21	ST-21 complex
254	3784		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	5	3	2	3	5	190	ST-21 complex
255	3786		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	21	3	2	1	5	53	ST-21 complex
256	78971		UK	1994			sand (bathing beach)	environmental isolate		35	5	9	5	8	46	2	199	
257	78968		UK	1994			sand (bathing beach)	environmental isolate	NT	41	43	9	5	8	46	3	200	
258	79177		UK	1994			sand (bathing beach)	environmental isolate	8,17	4	1	12	3	2	1	5	201	ST-21 complex
259	3179		UK	1994		gastroenteritis	human stool	sporadic case	2	7	28	4	28	17	1	12	202	ST-573 complex
260	78967		UK	1994			sand (bathing beach)	environmental isolate	15	17	7	10	30	1	7	4	203	ST-45 complex
261	1982		UK	1990		gastroenteritis	human stool	sporadic case	11,31	9	2	4	6	4	5	6	17	ST-257 complex
262	2547		UK	1991		gastroenteritis	human stool	sporadic case	1	2	1	12	3	2	1	5	50	ST-21 complex
263	2686		UK	1991		gastroenteritis	human stool	sporadic case	19	13	3	6	4	3	3	3	204	ST-22 complex
264	2267		UK	1991		gastroenteritis	human stool	sporadic case	11	9	2	4	6	4	5	6	17	ST-257 complex
265	2455		UK	1991		gastroenteritis	human stool	sporadic case	1	2	1	12	3	2	1	5	50	ST-21 complex
266	2309		UK	1991		gastroenteritis	human stool	sporadic case	NT	1	3	6	4	3	3	3	22	ST-22 complex
267	2958		UK	1991		gastroenteritis	human stool	sporadic case	4	2	4	1	2	7	51	5	205	ST-48 complex
268	3027		UK	1991		gastroenteritis	human stool	sporadic case	4,13,50	2	4	1	2	7	51	5	205	ST-48 complex
269	2666		UK	1991		gastroenteritis	human stool	sporadic case	NT	2	21	5	37	2	1	5	206	ST-206 complex
270	2323		UK	1991		gastroenteritis	human stool	sporadic case	13,16,50	42	4	1	2	7	1	5	207	ST-48 complex
271	2155		UK	1991		gastroenteritis	human stool	sporadic case	13,50	2	4	1	2	7	1	5	48	ST-48 complex
272	3277		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	20	1	5	75	ST-21 complex
273	87039		UK	1994			sand (bathing beach)	environmental isolate	NT	1	4	2	2	6	3	1	219	ST-61 complex
274	87035		UK	1994			sand (bathing beach)	environmental isolate		26	2	9	51	8	46	5	208	ST-682 complex
275	87038		UK	1994			sand (bathing beach)	environmental isolate		27	33	29	49	43	9	1	209	ST-1275 complex
276	3766		UK	1991		gastroenteritis	human stool	sporadic case	13,16,50	4	21	5	3	7	1	5	210	ST-206 complex
277	2549		UK	1991		gastroenteritis	human stool	sporadic case	1	2	20	1	37	2	1	5	211	ST-21 complex
278	2640		UK	1991		gastroenteritis	human stool	sporadic case	1	4	20	1	37	2	1	5	212	ST-21 complex
279	3144		UK	1991		gastroenteritis	human stool	sporadic case	4,50	3	4	1	2	7	1	5	213	ST-48 complex
280	3666		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	21	3	2	1	5	53	ST-21 complex
281	D2579		USA			carrier	chicken	carrier		9	2	5	15	89	3	1	40	ST-607 complex
282	79352		UK	1994			sand (bathing beach)	environmental isolate	8,17	17	1	12	49	2	1	4	214	
283	1384		UK	1991		gastroenteritis	human stool	sporadic case		2	4	1	2	7	1	5	48	ST-48 complex
284	3290		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	5	3	2	1	5	19	ST-21 complex
285	78966		UK	1994			sand (bathing beach)	environmental isolate		2	2	9	51	8	46	5	215	ST-682 complex
286	3834		UK	1991		gastroenteritis	human stool	sporadic case	21	2	48	34	4	42	3	1	216	ST-283 complex
287	79262		UK	1994			sand (bathing beach)	environmental isolate	4	7	1	1	4	7	1	2	217	
288	79046		UK	1994			sand (bathing beach)	environmental isolate		1	6	29	2	40	32	3	220	ST-179 complex
289	3127		UK	1991		gastroenteritis	human stool	sporadic case	1	4	20	21	37	2	1	5	218	ST-206 complex
290	2689		UK	1991		gastroenteritis	human stool	sporadic case	4	2	1	1	3	7	1	5	104	ST-21 complex
291	2295		UK	1991		gastroenteritis	human stool	sporadic case	NT	2	21	5	2	2	1	5	221	ST-206 complex
292	2342		UK	1991		gastroenteritis	human stool	sporadic case	17	2	21	5	2	2	1	5	221	ST-206 complex
293	2665		Unknown			gastroenteritis	human stool	sporadic case		2	21	5	2	59	1	5	222	ST-206 complex
294	3820		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	1	5	21	ST-21 complex
295	2437		UK	1991		gastroenteritis	human stool	sporadic case	NT	2	21	5	2	2	1	5	221	ST-206 complex
296	3075		UK	1991		gastroenteritis	human stool	sporadic case	2	2	1	1	3	2	1	5	21	ST-21 complex
